Mark,Athlete,Nation,Venue,Date,Sex,Event
83.36,Jüri Tamm,URS,Kyiv,4-May-1988,male,hammer
83.36,Ivan Tsikhan,BLR,Minsk,26-Jun-2004,male,hammer
83.36,Andrey Abduvaliyev,TJK,Budapest,3-Jun-1994,male,hammer
83.38,Szymon Ziólkowski,POL,Edmonton (Commonwealth Stadium),5-Aug-2001,male,hammer
83.39,Adrián Annus,HUN,Zalaegerszeg,9-Jun-2001,male,hammer
83.4,Ralf Haber,GDR,Athína,16-May-1988,male,hammer
83.4,Jüri Tamm,URS,Adler,25-May-1985,male,hammer
83.43,Aleksey Zagornyi,RUS,Adler,10-Feb-2002,male,hammer
83.44,Igor Nikulin,RUS,Sevilla,6-Jun-1992,male,hammer
83.44,Igor Astapkovich,URS,Minsk,31-Jul-1988,male,hammer
83.46,Andrey Abduvaliyev,TJK,Sochi,26-May-1990,male,hammer
83.47,Koji Murofushi,JPN,Toyota,14-Jul-2001,male,hammer
83.48,Pawel Fajdek,POL,Warszawa (Stadion Narodowy),23-Aug-2014,male,hammer
83.48,Sergey Litvinov,URS,Karl-Marx-Stadt,21-Jun-1987,male,hammer
83.54,Igor Nikulin,URS,Athína,2-Sep-1982,male,hammer
83.58,Sergey Litvinov,URS,Moskva,8-Jul-1984,male,hammer
83.62,Igor Astapkovich,BLR,Minsk,20-Jun-1998,male,hammer
83.62,Sergey Litvinov,URS,Vladivostok,14-Sep-1988,male,hammer
83.63,Ivan Tsikhan,BLR,Osaka (Nagai Stadium),27-Aug-2007,male,hammer
83.64,Ivan Tsikhan,BLR,"Brest, BLR",10-Jul-2003,male,hammer
83.65,Adrián Annus,HUN,Debrecen,11-Jul-2004,male,hammer
83.66,Jüri Tamm,URS,Tokyo,22-Sep-1985,male,hammer
83.68,Tibor Gécsek,HUN,Zalaegerszeg,19-Sep-1998,male,hammer
83.69,Vadim Devyatovskiy,BLR,"Brest, BLR",3-Jul-2005,male,hammer
83.76,Yuriy Sedykh,URS,Seoul (Olympic Stadium),26-Sep-1988,male,hammer
83.78,Igor Nikulin,URS,Leningrad,18-Jun-1988,male,hammer
83.9,Yuriy Sedykh,URS,Roma,31-Aug-1984,male,hammer
83.93,Pawel Fajdek,POL,Szczecin (Miejski Stadion),9-Aug-2015,male,hammer
83.96,Igor Nikulin,URS,Nice,10-Jul-1990,male,hammer
83.97,Ivan Tsikhan,BLR,Minsk,10-Jul-2004,male,hammer
83.98,Sergey Litvinov,URS,Moskva,4-Jun-1982,male,hammer
84.02,Sergey Litvinov,URS,Helsinki,7-Jul-1986,male,hammer
84.04,Sergey Litvinov,URS,Adler,1-Jun-1988,male,hammer
84.08,Jüri Tamm,URS,Budapest,4-Aug-1985,male,hammer
84.12,Igor Astapkovich,URS,"Seattle, WA",26-Jul-1990,male,hammer
84.14,Igor Astapkovich,URS,Split (Poljud Stadion),31-Aug-1990,male,hammer
84.14,Yuriy Sedykh,URS,Helsinki,7-Jul-1986,male,hammer
84.14,Sergey Litvinov,URS,Moskva,21-Jun-1983,male,hammer
84.16,Jüri Tamm,URS,Kharkov,19-Jun-1988,male,hammer
84.19,Adrián Annus,HUN,Szombathely,10-Aug-2003,male,hammer
84.26,Yuriy Sedykh,URS,Nice,15-Jul-1986,male,hammer
84.26,Igor Astapkovich,URS,Reims,3-Jul-1991,male,hammer
84.32,Ivan Tsikhan,BLR,Minsk,8-Aug-2003,male,hammer
84.36,Sergey Litvinov,URS,Tallinn,22-Jun-1986,male,hammer
84.4,Jüri Tamm,URS,Banská Bystrica,9-Sep-1984,male,hammer
84.46,Yuriy Sedykh,URS,Vladivostok,14-Sep-1988,male,hammer
84.46,Ivan Tsikhan,BLR,Minsk,7-May-2004,male,hammer
84.48,Igor Nikulin,URS,Lausanne,12-Jul-1990,male,hammer
84.51,Ivan Tsikhan,BLR,Grodno,9-Jul-2008,male,hammer
84.58,Yuriy Sedykh,URS,Leningrad,8-Jun-1986,male,hammer
84.6,Yuriy Sedykh,URS,Tokyo,14-Sep-1984,male,hammer
84.62,Igor Astapkovich,BLR,Sevilla,6-Jun-1992,male,hammer
84.64,Sergey Litvinov,URS,Moskva,9-Jul-1986,male,hammer
84.72,Yuriy Sedykh,URS,Moskva,9-Jul-1986,male,hammer
84.8,Sergey Litvinov,URS,Seoul (Olympic Stadium),26-Sep-1988,male,hammer
84.86,Koji Murofushi,JPN,Praha (Stadion Juliska),29-Jun-2003,male,hammer
84.88,Sergey Litvinov,URS,Roma (Stadio Olimpico),10-Sep-1986,male,hammer
84.9,Vadim Devyatovskiy,BLR,Minsk,21-Jul-2005,male,hammer
84.92,Yuriy Sedykh,URS,Dresden,3-Jul-1986,male,hammer
85.02,Yuriy Sedykh,URS,Budapest,20-Aug-1984,male,hammer
85.14,Sergey Litvinov,URS,London,11-Jul-1986,male,hammer
85.14,Yuriy Sedykh,URS,Moskva,4-Sep-1988,male,hammer
85.2,Sergey Litvinov,URS,Cork,3-Jul-1984,male,hammer
85.6,Yuriy Sedykh,URS,Moskva,17-Aug-1984,male,hammer
85.6,Yuriy Sedykh,URS,London,13-Jul-1984,male,hammer
85.68,Yuriy Sedykh,URS,Budapest,11-Aug-1986,male,hammer
85.74,Sergey Litvinov,URS,Stuttgart (Neckarstadion),30-Aug-1986,male,hammer
86.04,Sergey Litvinov,URS,Dresden,3-Jul-1986,male,hammer
86.34,Yuriy Sedykh,URS,Cork,3-Jul-1984,male,hammer
86.66,Yuriy Sedykh,URS,Tallinn,22-Jun-1986,male,hammer
86.74,Yuriy Sedykh,URS,Stuttgart (Neckarstadion),30-Aug-1986,male,hammer
2.37,Gennadiy Avdeyenko,URS,Stockholm,3-Jul-1989,male,high-jump
2.37,Javier Sotomayor,CUB,Stockholm,3-Jul-1989,male,high-jump
2.37,Javier Sotomayor,CUB,Oslo,1-Jul-1989,male,high-jump
2.37,Sorin Matei,ROU,Bucuresti,11-Jun-1988,male,high-jump
2.37,Tom McCants,USA,"Columbus, OH",8-May-1988,male,high-jump
2.37,Javier Sotomayor,CUB,Athína,20-Jun-1987,male,high-jump
2.37,Igor Paklin,URS,Köln,17-Aug-1986,male,high-jump
2.37,Carlo Thränhardt,GER,Rieti,2-Sep-1984,male,high-jump
2.37,Patrik Sjöberg,SWE,Nice,10-Jul-1988,male,high-jump
2.37,Jerome Carter,USA,"Columbus, OH",8-May-1988,male,high-jump
2.37,Patrik Sjöberg,SWE,"New York, NY",22-Jul-1989,male,high-jump
2.37,Valeriy Sereda,URS,Rieti,2-Sep-1984,male,high-jump
2.37,Jianhua Zhu,CHN,Beijing,11-Jun-1983,male,high-jump
2.37,Javier Sotomayor,CUB,Bratislava,14-Jun-1989,male,high-jump
2.38,Ivan Ukhov,RUS,London (Olympic Stadium),7-Aug-2012,male,high-jump
2.38,Ivan Ukhov,RUS,Lausanne (Pontaise),3-Jul-2014,male,high-jump
2.38,Jianhua Zhu,CHN,Shanghai,22-Sep-1983,male,high-jump
2.38,Javier Sotomayor,CUB,Kvarnsveden,19-Jun-1988,male,high-jump
2.38,Javier Sotomayor,CUB,Paris Saint-Denis,23-Jun-1989,male,high-jump
2.38,Artur Partyka,POL,Eberstadt,18-Aug-1996,male,high-jump
2.38,Hollis Conway,USA,"Provo, UT",3-Jun-1989,male,high-jump
2.38,Derek Drouin,CAN,Eberstadt,17-Jul-2016,male,high-jump
2.38,Guowei Zhang,CHN,"Eugene (Hayward Field), OR",30-May-2015,male,high-jump
2.38,Mutaz Essa Barshim,QAT,Shanghai (SS),17-May-2015,male,high-jump
2.38,Mutaz Essa Barshim,QAT,"Birmingham (Alexander), GBR",24-Aug-2014,male,high-jump
2.38,Bohdan Bondarenko,UKR,Székesfehérvár (Sóstói Stadion),8-Jul-2014,male,high-jump
2.38,Mutaz Essa Barshim,QAT,Lausanne (Pontaise),3-Jul-2014,male,high-jump
2.38,Mutaz Essa Barshim,QAT,Moskva (Luzhniki),15-Aug-2013,male,high-jump
2.38,Bohdan Bondarenko,UKR,London (Olympic Stadium),26-Jul-2013,male,high-jump
2.38,Andrey Silnov,RUS,London (Crystal Palace),25-Jul-2008,male,high-jump
2.38,Jacques Freitag,RSA,Oudtshoorn,5-Mar-2005,male,high-jump
2.38,Javier Sotomayor,CUB,Rhede,6-Aug-1993,male,high-jump
2.38,Dragutin Topic,SCG,Beograd,1-Aug-1993,male,high-jump
2.38,Charles Austin,USA,Tokyo (Olympic Stadium),1-Sep-1991,male,high-jump
2.38,Hollis Conway,USA,Malmö,7-Aug-1990,male,high-jump
2.38,Gennadiy Avdeyenko,URS,Seoul (Olympic Stadium),25-Sep-1988,male,high-jump
2.38,Gennadiy Avdeyenko,URS,Seoul,2-Oct-1987,male,high-jump
2.38,Gennadiy Avdeyenko,UKR,Roma (Stadio Olimpico),6-Sep-1987,male,high-jump
2.38,Igor Paklin,URS,Rieti,7-Sep-1986,male,high-jump
2.38,Patrik Sjöberg,SWE,Eberstadt,16-Jun-1985,male,high-jump
2.38,Troy Kemp,BAH,Nice,12-Jul-1995,male,high-jump
2.38,Bohdan Bondarenko,UKR,"Birmingham (Alexander), GBR",24-Aug-2014,male,high-jump
2.38,Derek Drouin,CAN,Rio de Janeiro (Estádio Olímpico),16-Aug-2016,male,high-jump
2.38,Andriy Sokolovskyy,UKR,Roma (Stadio Olimpico),8-Jul-2005,male,high-jump
2.38,Derek Drouin,CAN,Moskva (Luzhniki),15-Aug-2013,male,high-jump
2.38,Sergey Malchenko,URS,Banská Bystrica,4-Sep-1988,male,high-jump
2.38,Patrik Sjöberg,SWE,Roma (Stadio Olimpico),6-Sep-1987,male,high-jump
2.38,Hollis Conway,USA,Bruxelles,10-Aug-1990,male,high-jump
2.38,Hollis Conway,USA,Eberstadt,3-Jul-1993,male,high-jump
2.38,Igor Paklin,KGZ,Roma (Stadio Olimpico),6-Sep-1987,male,high-jump
2.39,Ivan Ukhov,RUS,Cheboksary,5-Jul-2012,male,high-jump
2.39,Charles Austin,USA,"Atlanta (Olympic Stadium), GA",28-Jul-1996,male,high-jump
2.39,Bohdan Bondarenko,UKR,Marrakech (Le Grande Stade),8-Jun-2014,male,high-jump
2.39,Mutaz Essa Barshim,QAT,Lausanne (Pontaise),23-Aug-2012,male,high-jump
2.39,Javier Sotomayor,CUB,Pau,26-Jun-1993,male,high-jump
2.39,Patrik Sjöberg,SWE,Göteborg,27-Jun-1987,male,high-jump
2.39,Jianhua Zhu,CHN,Eberstadt,10-Jun-1984,male,high-jump
2.39,Gianmarco Tamberi,ITA,Monaco (Stade Louis II),15-Jul-2016,male,high-jump
2.39,Hollis Conway,USA,"Norman, OK",30-Jul-1989,male,high-jump
2.4,Javier Sotomayor,CUB,Mar del Plata,25-Mar-1995,male,high-jump
2.4,Bohdan Bondarenko,UKR,Tokyo,11-May-2014,male,high-jump
2.4,Bohdan Bondarenko,UKR,Monaco (Stade Louis II),18-Jul-2014,male,high-jump
2.4,Bohdan Bondarenko,UKR,Lausanne (Pontaise),3-Jul-2014,male,high-jump
2.4,Vyacheslav Voronin,RUS,London (Crystal Palace),5-Aug-2000,male,high-jump
2.4,Javier Sotomayor,CUB,Eberstadt,10-Jul-1994,male,high-jump
2.4,Javier Sotomayor,CUB,Stuttgart (Gottlieb-Daimler Stadion),22-Aug-1993,male,high-jump
2.4,Javier Sotomayor,CUB,London (Crystal Palace),23-Jul-1993,male,high-jump
2.4,Javier Sotomayor,CUB,La Habana,12-Mar-1989,male,high-jump
2.4,Andriy Protsenko,UKR,Lausanne (Pontaise),3-Jul-2014,male,high-jump
2.4,Javier Sotomayor,CUB,Sankt-Peterburg,29-Jul-1994,male,high-jump
2.4,Javier Sotomayor,CUB,London (Crystal Palace),11-Sep-1994,male,high-jump
2.4,Mutaz Essa Barshim,QAT,Opole,11-Jun-2016,male,high-jump
2.4,Javier Sotomayor,CUB,Paris Saint-Denis,19-Jul-1991,male,high-jump
2.4,Bohdan Bondarenko,UKR,Bruxelles (Boudewijnstadion),5-Sep-2014,male,high-jump
2.4,Javier Sotomayor,CUB,La Habana,22-May-1993,male,high-jump
2.4,Mutaz Essa Barshim,QAT,"Eugene (Hayward Field), OR",1-Jun-2013,male,high-jump
2.4,Javier Sotomayor,CUB,Bogotá,13-Aug-1989,male,high-jump
2.4,Patrik Sjöberg,SWE,Bruxelles,5-Aug-1989,male,high-jump
2.4,Derek Drouin,CAN,"Des Moines, IA",25-Apr-2014,male,high-jump
2.4,Javier Sotomayor,CUB,Nice,18-Jul-1994,male,high-jump
2.4,Charles Austin,USA,Zürich (Letzigrund),7-Aug-1991,male,high-jump
2.4,Sorin Matei,ROU,Bratislava,20-Jun-1990,male,high-jump
2.4,Rudolf Povarnitsyn,URS,Donetsk,11-Aug-1985,male,high-jump
2.41,Ivan Ukhov,RUS,Doha (Hamad Bin Suhaim),9-May-2014,male,high-jump
2.41,Javier Sotomayor,CUB,London (Crystal Palace),15-Jul-1994,male,high-jump
2.41,Igor Paklin,URS,Kobe,4-Sep-1985,male,high-jump
2.41,Mutaz Essa Barshim,QAT,Roma (Stadio Olimpico),5-Jun-2014,male,high-jump
2.41,Bohdan Bondarenko,UKR,Moskva (Luzhniki),15-Aug-2013,male,high-jump
2.41,Bohdan Bondarenko,UKR,Lausanne (Pontaise),4-Jul-2013,male,high-jump
2.41,Mutaz Essa Barshim,QAT,Eberstadt,22-Aug-2014,male,high-jump
2.41,Javier Sotomayor,CUB,La Habana,25-Jun-1994,male,high-jump
2.41,Mutaz Essa Barshim,QAT,"Eugene (Hayward Field), OR",30-May-2015,male,high-jump
2.42,Bohdan Bondarenko,UKR,"New York City (Icahn), NY",14-Jun-2014,male,high-jump
2.42,Mutaz Essa Barshim,QAT,"New York City (Icahn), NY",14-Jun-2014,male,high-jump
2.42,Patrik Sjöberg,SWE,Stockholm,30-Jun-1987,male,high-jump
2.42,Javier Sotomayor,CUB,Sevilla,5-Jun-1994,male,high-jump
2.43,Mutaz Essa Barshim,QAT,Bruxelles (Boudewijnstadion),5-Sep-2014,male,high-jump
2.43,Javier Sotomayor,CUB,Salamanca (Helmántico),8-Sep-1988,male,high-jump
2.44,Javier Sotomayor,CUB,"San Juan, PUR",29-Jul-1989,male,high-jump
2.45,Javier Sotomayor,CUB,Salamanca (Helmántico),27-Jul-1993,male,high-jump
89.78,Andreas Thorkildsen,NOR,Stockholm,25-Jul-2006,male,javelin
89.84,Konstadinós Gatsioúdis,GRE,München (Olympiastadion),11-Sep-1999,male,javelin
89.84,Jan Zelezný,CZE,Roma,27-Jun-1993,male,javelin
89.85,Steve Backley,GBR,Sydney (Olympic Stadium),23-Sep-2000,male,javelin
89.88,Andreas Thorkildsen,NOR,Bruxelles (Boudewijnstadion),27-Aug-2010,male,javelin
89.88,Aki Parviainen,FIN,Bærum (Nadderud),9-Jul-2000,male,javelin
89.89,Steve Backley,GBR,Gateshead,19-Jul-1998,male,javelin
89.9,Jan Zelezný,CZE,Saint-Denis,2-Jun-1997,male,javelin
89.92,Sergey Makarov,RUS,Gateshead (International Stadium),16-Jul-2000,male,javelin
89.92,Jan Zelezný,CZE,Göteborg,24-Aug-1994,male,javelin
89.93,Sergey Makarov,RUS,Athína,16-Jun-1999,male,javelin
89.94,Jan Zelezný,CZE,Lausanne (Pontaise),4-Jul-2001,male,javelin
89.95,Konstadinós Gatsioúdis,GRE,Edmonton (Commonwealth Stadium),12-Aug-2001,male,javelin
89.98,Sergey Makarov,RUS,Helsinki,13-Aug-2002,male,javelin
89.98,Jan Zelezný,CZE,Auckland,29-Mar-1994,male,javelin
90.02,Jan Zelezný,CZE,Ostrava,24-Jun-1992,male,javelin
90.06,Raymond Hecht,GER,Jena (Abbe Sport Ground),25-May-1996,male,javelin
90.06,Raymond Hecht,GER,Eschenbach,12-Feb-1994,male,javelin
90.09,Aki Parviainen,FIN,Kuortane,20-Jun-1998,male,javelin
90.11,Sergey Makarov,RUS,Dessau,30-May-2003,male,javelin
90.12,Jan Zelezný,CZE,Göteborg (Ullevi Stadium),11-Aug-1995,male,javelin
90.13,Andreas Thorkildsen,NOR,Doha,12-May-2006,male,javelin
90.16,Keshorn Walcott,TTO,Lausanne (Pontaise),9-Jul-2015,male,javelin
90.17,Jan Zelezný,CZE,Sydney (Olympic Stadium),23-Sep-2000,male,javelin
90.18,Jan Zelezný,TCH,Tokyo,19-Sep-1992,male,javelin
90.2,Raymond Hecht,GER,Monaco (Stade Louis II),10-Aug-1996,male,javelin
90.24,Jan Zelezný,CZE,Pietersburg,3-Apr-1996,male,javelin
90.28,Andreas Thorkildsen,NOR,Zürich (Letzigrund),29-Aug-2008,male,javelin
90.3,Thomas Röhler,GER,Rio de Janeiro (Estádio Olímpico),20-Aug-2016,male,javelin
90.33,Tero Pitkämäki,FIN,Osaka (Nagai Stadium),2-Sep-2007,male,javelin
90.33,Sergey Makarov,RUS,Tula (Arsenal Stadium),11-Jul-2005,male,javelin
90.34,Aki Parviainen,FIN,Lapinlahti,16-Jul-2000,male,javelin
90.34,Andreas Thorkildsen,NOR,Roma (Stadio Olimpico),14-Jul-2006,male,javelin
90.37,Andreas Thorkildsen,NOR,Florø,29-May-2010,male,javelin
90.4,Jan Zelezný,CZE,Bratislava,4-Jun-1991,male,javelin
90.43,Vadims Vasilevskis,LAT,Riga,27-May-2006,male,javelin
90.44,Boris Henry,GER,Linz,9-Jul-1997,male,javelin
90.5,Jan Zelezný,CZE,Bruxelles,25-Aug-1995,male,javelin
90.54,Tero Pitkämäki,FIN,Oslo,29-Jul-2005,male,javelin
90.56,Jan Zelezný,CZE,Oslo (Bislett),28-Jul-2000,male,javelin
90.56,Jan Zelezný,CZE,Praha (Stadion Rošický),5-Jun-2000,male,javelin
90.57,Andreas Thorkildsen,NOR,Beijing (National Stadium),23-Aug-2008,male,javelin
90.59,Jan Zelezný,CZE,Pretoria,24-Mar-2000,male,javelin
90.6,Seppo Räty,FIN,Nurmijärvi,20-Jul-1992,male,javelin
90.6,Jan Zelezný,CZE,Osaka,11-May-1996,male,javelin
90.6,Jan Zelezný,CZE,Stellenbosch,13-Apr-1993,male,javelin
90.61,Andreas Thorkildsen,NOR,Byrkjelo,14-Aug-2011,male,javelin
90.68,Jan Zelezný,CZE,Nice,21-Jul-1993,male,javelin
90.71,Breaux Greer,USA,"Carson, CA",20-May-2007,male,javelin
90.71,Vadims Vasilevskis,LAT,Valmiera,23-May-2009,male,javelin
90.73,Vadims Vasilevskis,LAT,Tallinn,22-Jul-2007,male,javelin
90.76,Jan Zelezný,CZE,Edmonton (Commonwealth Stadium),10-Aug-2001,male,javelin
90.8,Jan Zelezný,CZE,Bratislava,30-May-1995,male,javelin
90.8,Aki Parviainen,FIN,Vantaa,20-Jun-2000,male,javelin
90.81,Steve Backley,GBR,London (Crystal Palace),22-Jul-2001,male,javelin
90.86,Sergey Makarov,RUS,Dessau,29-May-2002,male,javelin
90.87,Sergey Makarov,RUS,Hamburg,12-Jun-2002,male,javelin
90.88,Aki Parviainen,FIN,Tartu,11-Jun-1998,male,javelin
90.97,Aki Parviainen,FIN,Kuortane,24-Jun-2000,male,javelin
91.04,Jan Zelezný,CZE,Kuortane,22-Jun-1996,male,javelin
91.11,Tero Pitkämäki,FIN,Kuortane,24-Jun-2006,male,javelin
91.23,Konstadinós Gatsioúdis,GRE,Thessaloníki,24-Jul-2002,male,javelin
91.23,Tero Pitkämäki,FIN,Lapinlahti,22-Jul-2007,male,javelin
91.24,Jan Zelezný,CZE,Poznan,8-Jun-2001,male,javelin
91.27,Konstadinós Gatsioúdis,GRE,Madrid,26-May-2001,male,javelin
91.28,Thomas Röhler,GER,Turku,29-Jun-2016,male,javelin
91.28,Andreas Thorkildsen,NOR,Zürich (Letzigrund),28-Aug-2009,male,javelin
91.28,Jan Zelezný,CZE,Villeneuve-d'Ascq,8-Jul-1994,male,javelin
91.29,Breaux Greer,USA,"Indianapolis, IN",21-Jun-2007,male,javelin
91.3,Jan Zelezný,CZE,Berlin (Olympiastadion),1-Sep-1995,male,javelin
91.31,Aki Parviainen,FIN,Edmonton (Commonwealth Stadium),12-Aug-2001,male,javelin
91.33,Tero Pitkämäki,FIN,Monaco (Stade Louis II),10-Sep-2005,male,javelin
91.34,Jan Zelezný,CZE,Cape Town,8-Apr-1997,male,javelin
91.39,Julius Yego,KEN,"Birmingham (Alexander), GBR",7-Jun-2015,male,javelin
91.4,Jan Zelezný,CZE,Villeneuve-d'Ascq,2-Jul-1993,male,javelin
91.46,Steve Backley,GBR,Auckland,25-Jan-1992,male,javelin
91.5,Raymond Hecht,GER,Gengenbach,1-Sep-1996,male,javelin
91.5,Jan Zelezný,CZE,Pretoria,8-Apr-1996,male,javelin
91.5,Jan Zelezný,CZE,Lublin,4-Jun-1994,male,javelin
91.53,Tero Pitkämäki,FIN,Kuortane,26-Jun-2005,male,javelin
91.59,Andreas Thorkildsen,NOR,Oslo,2-Jun-2006,male,javelin
91.68,Jan Zelezný,CZE,Gateshead,1-Jul-1994,male,javelin
91.69,Konstadinós Gatsioúdis,GRE,Kuortane,24-Jun-2000,male,javelin
91.82,Jan Zelezný,CZE,Sheffield,4-Sep-1994,male,javelin
92.12,Jan Zelezný,CZE,London,27-Aug-1995,male,javelin
92.12,Jan Zelezný,CZE,Tokyo,15-Sep-1995,male,javelin
92.28,Jan Zelezný,CZE,Monaco (Stade Louis II),9-Sep-1995,male,javelin
92.28,Raymond Hecht,GER,Zürich,14-Aug-1996,male,javelin
92.41,Aki Parviainen,FIN,Vaasa,24-Jun-2001,male,javelin
92.42,Jan Zelezný,CZE,Ostrava,28-May-1997,male,javelin
92.6,Raymond Hecht,GER,Oslo,21-Jul-1995,male,javelin
92.61,Sergey Makarov,RUS,Sheffield,30-Jun-2002,male,javelin
92.72,Julius Yego,KEN,Beijing (National Stadium),26-Aug-2015,male,javelin
92.8,Jan Zelezný,CZE,Edmonton (Commonwealth Stadium),12-Aug-2001,male,javelin
93.09,Aki Parviainen,FIN,Kuortane,26-Jun-1999,male,javelin
94.02,Jan Zelezný,CZE,Stellenbosch,26-Mar-1997,male,javelin
94.64,Jan Zelezný,CZE,Ostrava,31-May-1996,male,javelin
95.54,Jan Zelezný,CZE,Pietersburg,6-Apr-1993,male,javelin
95.66,Jan Zelezný,CZE,Sheffield,29-Aug-1993,male,javelin
98.48,Jan Zelezný,CZE,Jena (Abbe Sport Ground),25-May-1996,male,javelin
8.53,Jaime Jefferson,CUB,La Habana,12-May-1990,male,long-jump
8.53,Carl Lewis,USA,Stockholm,3-Jul-1989,male,long-jump
8.53,Carl Lewis,USA,"Houston, TX",4-May-1985,male,long-jump
8.53,Robert Emmiyan,URS,Roma (Stadio Olimpico),5-Sep-1987,male,long-jump
8.54,Lutz Dombrowski,GDR,Moskva (Lenin Stadium),28-Jul-1980,male,long-jump
8.54,Mitchell Watt,AUS,Stockholm (Olympiastadion),29-Jul-2011,male,long-jump
8.54,Dwight Phillips,USA,Berlin (Olympiastadion),22-Aug-2009,male,long-jump
8.54,Carl Lewis,USA,"New York, NY",22-Jul-1989,male,long-jump
8.54,Carl Lewis,USA,Los Angeles (Memorial Coliseum),6-Aug-1984,male,long-jump
8.54,Larry Myricks,USA,Monaco (Stade Louis II),1-Sep-1989,male,long-jump
8.54,Dwight Phillips,USA,Hengelo (Blankers-Koen Stadion),1-Jun-2009,male,long-jump
8.54,Loúis Tsátoumas,GRE,Haniá,9-Jun-2007,male,long-jump
8.54,Iván Pedroso,CUB,"Uniondale (Mitchel AC), NY",20-Jul-1998,male,long-jump
8.54,Mike Powell,USA,London,10-Sep-1993,male,long-jump
8.55,Iván Pedroso,CUB,Bad Cannstatt,9-Jul-1995,male,long-jump
8.55,Carl Lewis,USA,Helsinki (Olympic Stadium),10-Aug-1983,male,long-jump
8.55,Iván Pedroso,CUB,Sydney (Olympic Stadium),28-Sep-2000,male,long-jump
8.55,Larry Myricks,USA,"Modesto, CA",7-May-1989,male,long-jump
8.56,Aleksandr Menkov,RUS,Moskva (Luzhniki),16-Aug-2013,male,long-jump
8.56,Irving Saladino,PAN,Hengelo (Blankers-Koen Stadion),1-Jun-2009,male,long-jump
8.56,Irving Saladino,PAN,Rio de Janeiro,14-May-2006,male,long-jump
8.56,Yago Lamela,ESP,Torino,24-Jun-1999,male,long-jump
8.56,Iván Pedroso,CUB,Linz,9-Jul-1997,male,long-jump
8.56,Iván Pedroso,CUB,Lausanne (Pontaise),5-Jul-1995,male,long-jump
8.56,Kareem Streete-Thompson,USA,"New York, NY",21-May-1995,male,long-jump
8.56,Carl Lewis,USA,"Los Angeles (Westwood), CA",15-May-1983,male,long-jump
8.56,Larry Myricks,USA,Rhede,1-Sep-1982,male,long-jump
8.56,Iván Pedroso,CUB,Sevilla (La Cartuja),28-Aug-1999,male,long-jump
8.56,Carl Lewis,USA,"New York, NY",24-May-1992,male,long-jump
8.56,Carl Lewis,USA,Tokyo (Olympic Stadium),29-Aug-1991,male,long-jump
8.57,Irving Saladino,PAN,Osaka (Nagai Stadium),30-Aug-2007,male,long-jump
8.57,Mike Powell,USA,Bruxelles,28-Aug-1992,male,long-jump
8.57,Dwight Phillips,USA,Linz,23-Aug-2005,male,long-jump
8.57,Mike Powell,USA,Berlin,21-Aug-1992,male,long-jump
8.58,Jarrion Lawson,USA,"Eugene (Hayward Field), OR",3-Jul-2016,male,long-jump
8.58,Larry Myricks,USA,Sestriere,11-Aug-1988,male,long-jump
8.58,Erick Walder,USA,"Springfield, MO",4-May-1996,male,long-jump
8.58,Mike Powell,USA,Bruxelles,19-Aug-1994,male,long-jump
8.58,Carl Lewis,USA,Zürich,18-Aug-1982,male,long-jump
8.58,Iván Pedroso,CUB,Monaco (Stade Louis II),25-Jul-1995,male,long-jump
8.59,Iván Pedroso,CUB,Stockholm,7-Jul-1997,male,long-jump
8.59,Iván Pedroso,CUB,Padova,16-Jul-1995,male,long-jump
8.59,Iván Pedroso,CUB,Tokyo,15-Sep-1995,male,long-jump
8.59,Dwight Phillips,USA,Athína (Olympic Stadium),26-Aug-2004,male,long-jump
8.59,Mike Powell,USA,Stuttgart (Gottlieb-Daimler Stadion),20-Aug-1993,male,long-jump
8.59,Larry Myricks,USA,Rhede,5-Sep-1984,male,long-jump
8.6,Dwight Phillips,USA,Linz,2-Aug-2004,male,long-jump
8.6,Iván Pedroso,CUB,Padova,26-Jun-1999,male,long-jump
8.6,Iván Pedroso,CUB,Praha,10-Jun-1997,male,long-jump
8.6,Iván Pedroso,CUB,Zürich,16-Aug-1995,male,long-jump
8.6,James Beckford,JAM,Bad Langensalza,6-Jun-1998,male,long-jump
8.6,Dwight Phillips,USA,Helsinki (Olympic Stadium),13-Aug-2005,male,long-jump
8.61,Larry Myricks,USA,Budapest,12-Aug-1988,male,long-jump
8.61,Dwight Phillips,USA,Roma (Stadio Olimpico),10-Jul-2009,male,long-jump
8.61,Mike Powell,USA,Rhede,7-Jul-1991,male,long-jump
8.61,Robert Emmiyan,URS,Moskva,6-Jul-1986,male,long-jump
8.61,Carl Lewis,USA,"Los Angeles (Westwood), CA",16-May-1982,male,long-jump
8.62,Mike Powell,USA,"New Orleans, LA",24-Jun-1992,male,long-jump
8.62,Carl Lewis,USA,Bruxelles,30-Aug-1985,male,long-jump
8.62,Carl Lewis,USA,"Sacramento, CA",20-Jun-1981,male,long-jump
8.62,James Beckford,JAM,"Orlando, FL",5-Apr-1997,male,long-jump
8.63,Irving Saladino,PAN,"Eugene, OR",7-Jun-2009,male,long-jump
8.63,Kareem Streete-Thompson,USA,Linz,4-Jul-1994,male,long-jump
8.63,Mike Powell,USA,"New York, NY",15-Jun-1991,male,long-jump
8.63,Larry Myricks,USA,"San José, CA",26-Jun-1987,male,long-jump
8.63,Iván Pedroso,CUB,Padova,8-Jun-1997,male,long-jump
