,EnteroCount,FourDayRainTotal
1202,7.0,0.0
1203,116.0,0.9
1204,2.0,0.1
1205,2.0,0.0
1206,2.0,0.0
1207,38.0,0.3
1208,1.0,0.6
1209,24.0,1.0
1210,17.0,0.1
1211,5.0,0.2
1212,5.0,0.0
1213,2.0,0.0
1214,11.0,0.6
1215,16.0,0.1
1216,26.0,0.0
1217,5.0,0.0
1218,33.0,0.0
1219,13.0,0.0
1220,1.0,0.4
1221,77.0,0.5
1222,7.0,0.5
1223,2.0,0.3
1224,2.0,0.0
1225,26.0,0.1
1226,10.0,0.2
1227,2.0,0.0
1228,12.0,0.5
1229,32.0,2.1
1230,,1.5
1231,4.0,0.0
1232,7.0,0.0
1233,22.0,0.0
1234,15.0,0.0
1235,9.0,0.0
1236,7.0,0.2
1237,5.0,0.0
1238,6.0,0.1
1239,16.0,0.0
1240,91.0,0.9
1241,16.0,0.0
1242,84.0,0.0
1243,17.0,0.0
1244,22.0,1.5
1245,411.0,2.1
1246,66.0,0.5
1247,40.0,1.0
1248,3.0,0.6
1249,1.0,0.3
1250,2.0,0.0
1251,1.0,0.0
1252,3.0,0.0
1253,37.0,0.1
1254,16.0,0.1
1255,7.0,0.3
1256,9.0,0.5
1257,8.0,0.2
1258,3.0,0.4
1259,10.0,0.0
1260,22.0,0.0
1261,3.0,0.0
1262,2.0,0.0
1263,9.0,0.2
1264,86.0,0.0
1265,12.0,0.5
1266,9.0,0.2
1267,7.0,0.1
1268,15.0,0.0
1269,2.0,0.0
1270,5.0,0.0
1271,6.0,0.6
1272,7.0,0.0
1273,9.0,0.0
1274,199.0,0.1
1275,12.0,0.0
1276,34.0,0.0
1277,3.0,0.0
1278,38.0,0.0
1279,56.0,0.0
1280,15.0,0.4
1281,18.0,0.2
1282,10.0,0.5
1283,2.0,0.3
1284,25.0,0.1
1285,40.0,0.1
1286,,0.0
1287,69.0,0.5
1288,99.0,2.1
1289,816.0,1.5
1290,56.0,0.4
1291,20.0,0.0
1292,48.0,1.0
1293,28.0,0.0
1294,50.0,0.0
1295,7.0,0.0
1296,107.0,0.2
1297,23.0,0.0
1298,8.0,0.6
1299,8.0,1.7
1300,12.0,0.5
1301,104.0,0.9
1302,6.0,0.1
1303,22.0,0.0
1304,3.0,0.0
1305,4.0,0.3
1306,1.0,0.6
1307,17.0,1.0
1308,3.0,0.1
1309,21.0,0.8
1310,41.0,1.0
1311,184.0,0.2
1312,36.0,0.0
1313,687.0,0.6
1314,115.0,1.7
1315,225.0,0.5
1316,1046.0,0.9
1317,2.0,0.1
